project_project_code,task_count,completed_count
PROJ00000001,6,1
PROJ00000003,2,1
PROJ00000004,4,1
PROJ00000006,2,1
PROJ00000008,2,1
PROJ00000010,2,1
PROJ00000011,5,1
PROJ00000012,2,2
PROJ00000013,2,2
PROJ00000015,3,1
PROJ00000016,1,1
PROJ00000018,2,1
PROJ00000020,2,1
PROJ00000022,3,1
PROJ00000023,2,1
PROJ00000026,1,1
PROJ00000031,1,1
PROJ00000033,2,1
PROJ00000035,1,1
PROJ00000038,1,1
PROJ00000041,2,1
PROJ00000042,3,1
PROJ00000043,2,1
PROJ00000055,4,2
PROJ00000061,2,1
PROJ00000062,1,1
PROJ00000081,1,1
PROJ00000082,1,1
PROJ00000086,1,1
PROJ00000088,1,1
PROJ00000090,2,1
PROJ00000096,2,1
PROJ00000097,2,1
PROJ00000098,1,1
PROJ00000099,1,1
PROJ00000106,1,1
PROJ00000107,1,1
PROJ00000119,1,1
