project_name,total_tasks,completed_tasks
上交大-CRM-实施项目,2,2
中国电信沪分-MASS-实施项目,2,2
农行山东-BI-实施项目,1,1
北京协和-BI-实施项目,1,1
北京大数据-BI-实施项目,1,1
北京银行-BI-实施项目,2,2
南京银行-BI-实施项目,2,2
南京银行-CRM-实施项目,1,1
厦门国际银行-BI-实施项目,1,1
国投中债-BI-实施项目,3,3
天河卫健-CRM-实施项目,1,1
宁波银行-BI-实施项目,2,2
川省人民医院-BI-实施项目,1,1
工行北京-BI-实施项目,2,2
工行北京-CRM-实施项目,2,2
平安银行-BI-实施项目,2,2
平安银行-CRM-实施项目,1,1
广州农商银行-BI-实施项目,2,2
建行天津-BI-实施项目,2,2
徽商银行-BI-实施项目,1,1
成都高新-CRM-实施项目,2,2
招行上海-BI-实施项目,1,1
招行上海-MASS-实施项目,2,2
武汉商行-BI-实施项目,2,2
沪大数据-CRM-实施项目,2,2
浙大-BI-实施项目,2,2
浦发银行-BI-实施项目,1,1
浦发银行-数据工厂-实施项目,1,1
海淀政府-CRM-实施项目,2,2
福州银行-BI-实施项目,2,2
移动广东-MASS-实施项目,2,2
粤省人民医院-BI-实施项目,2,2
腾讯-数据工厂-实施项目,1,1
苏省数据-CRM-实施项目,2,2
鄂省人民医院-BI-实施项目,1,1
重庆农商-BI-实施项目,1,1
长沙银行-BI-实施项目,2,2
阿里巴巴-MASS-实施项目,1,1
阿里巴巴-数据工厂-实施项目,2,2
